column_id,start_time,end_time
C1-uT-lT,13:16:11,15:01:00
C2-uT-lT,13:32:44,14:44:30
C3-uCB-lCB,22:39:42,23:10:01
C4-uT-lT,13:48:00,14:17:24
C5-uT-lT,13:58:00,14:30:00
P1-uT-lT,13:35:00,14:02:00
P2-uT-lT,13:32:41,14:05:03
P4-uT-lT,13:48:16,14:14:39
P5-uT-lT,13:57:43,14:27:11
S1-uT-lT,13:38:12,14:34:54
S2-uT-lT,13:36:08,14:12:13
S3-uT-lT,13:45:45,14:13:54
S4-uT-lT,13:45:02,14:16:41
S5-uT-lT,14:00:54,14:39:07
