column_id,start_time,end_time
C1,22:32:13,23:18:19
C2,22:42:06,00:27:08
C3,22:28:20,02:04:07
C3*,22:28:20,22:54:35
C4,22:05:26,01:59:00
C4*,22:05:26,23:30:00
C4**,22:13:13,23:34:00
C5,22:49:00,03:02:00
P1,22:23:00,00:05:00
P4,22:29:30,23:11:14
P5,22:22:00,22:44:00
S1,22:30:00,23:30:00
S2,22:15:09,23:09:41
S3,22:38:12,00:41:05
S4,22:29:37,00:24:39
S5,22:22:07,00:03:35

