elapsed time,receive time,header.stamp,topic,value
75600,1666422000.000000000,,/group_S_avg.uCB,13.4445330185
79200,1666425600.000000000,,/group_S_avg.uCB,13.4793163672
82800,1666429200.000000000,,/group_S_avg.uCB,13.5529659168
86400,1666432800.000000000,,/group_S_avg.uCB,13.6709701048
90000,1666436400.000000000,,/group_S_avg.uCB,13.8094318324
93600,1666440000.000000000,,/group_S_avg.uCB,13.963609329
97200,1666443600.000000000,,/group_S_avg.uCB,14.0480418401
100800,1666447200.000000000,,/group_S_avg.uCB,14.2270713542
104400,1666450800.000000000,,/group_S_avg.uCB,14.4817165085
108000,1666454400.000000000,,/group_S_avg.uCB,14.699941628
111600,1666458000.000000000,,/group_S_avg.uCB,14.8652158745
115200,1666461600.000000000,,/group_S_avg.uCB,15.0279008006
118800,1666465200.000000000,,/group_S_avg.uCB,15.1956116489
122400,1666468800.000000000,,/group_S_avg.uCB,15.4147523683
126000,1666472400.000000000,,/group_S_avg.uCB,15.7531918192
129600,1666476000.000000000,,/group_S_avg.uCB,16.5599066425
133200,1666479600.000000000,,/group_S_avg.uCB,17.4129128615
136800,1666483200.000000000,,/group_S_avg.uCB,18.3019978757
140400,1666486800.000000000,,/group_S_avg.uCB,19.3758240688
144000,1666490400.000000000,,/group_S_avg.uCB,20.4649637908
147600,1666494000.000000000,,/group_S_avg.uCB,21.4884760985
151200,1666497600.000000000,,/group_S_avg.uCB,22.021717446
154800,1666501200.000000000,,/group_S_avg.uCB,22.5291521945
158400,1666504800.000000000,,/group_S_avg.uCB,23.0892273981
162000,1666508400.000000000,,/group_S_avg.uCB,23.7265572124
165600,1666512000.000000000,,/group_S_avg.uCB,24.4627253952
169200,1666515600.000000000,,/group_S_avg.uCB,25.3869855827
