elapsed time,receive time,header.stamp,topic,value
100800,1666447200.000000000,,/group_P_avg.lCB,47.9980626383
104400,1666450800.000000000,,/group_P_avg.lCB,47.3901982986
108000,1666454400.000000000,,/group_P_avg.lCB,46.2115309032
111600,1666458000.000000000,,/group_P_avg.lCB,45.4277600873
115200,1666461600.000000000,,/group_P_avg.lCB,45.7136718431
118800,1666465200.000000000,,/group_P_avg.lCB,46.8874450758
122400,1666468800.000000000,,/group_P_avg.lCB,47.2835309883
126000,1666472400.000000000,,/group_P_avg.lCB,47.361569687
129600,1666476000.000000000,,/group_P_avg.lCB,47.7796051913
133200,1666479600.000000000,,/group_P_avg.lCB,48.0870070114
136800,1666483200.000000000,,/group_P_avg.lCB,48.5064063211
140400,1666486800.000000000,,/group_P_avg.lCB,48.8604971686
144000,1666490400.000000000,,/group_P_avg.lCB,49.6684105232
147600,1666494000.000000000,,/group_P_avg.lCB,50.4009579681
151200,1666497600.000000000,,/group_P_avg.lCB,51.460325298
154800,1666501200.000000000,,/group_P_avg.lCB,52.493935675
158400,1666504800.000000000,,/group_P_avg.lCB,53.2603576837
162000,1666508400.000000000,,/group_P_avg.lCB,53.8074947999
165600,1666512000.000000000,,/group_P_avg.lCB,54.8074984844
169200,1666515600.000000000,,/group_P_avg.lCB,55.2970223548
0,1666346400.000000000,,/group_S_avg.lCB,70.5525887519
3600,1666350000.000000000,,/group_S_avg.lCB,71.3958310775
7200,1666353600.000000000,,/group_S_avg.lCB,69.2035966604
10800,1666357200.000000000,,/group_S_avg.lCB,68.0940691607
14400,1666360800.000000000,,/group_S_avg.lCB,67.8763154614
18000,1666364400.000000000,,/group_S_avg.lCB,68.0645595361
21600,1666368000.000000000,,/group_S_avg.lCB,67.9671920062
25200,1666371600.000000000,,/group_S_avg.lCB,67.924757989
28800,1666375200.000000000,,/group_S_avg.lCB,69.481800504
32400,1666378800.000000000,,/group_S_avg.lCB,71.2900281145
36000,1666382400.000000000,,/group_S_avg.lCB,72.9387099622
39600,1666386000.000000000,,/group_S_avg.lCB,73.86077115
43200,1666389600.000000000,,/group_S_avg.lCB,74.7495427496
46800,1666393200.000000000,,/group_S_avg.lCB,75.5813007888
50400,1666396800.000000000,,/group_S_avg.lCB,75.6942978054
54000,1666400400.000000000,,/group_S_avg.lCB,75.6435042106
57600,1666404000.000000000,,/group_S_avg.lCB,75.6213188596
61200,1666407600.000000000,,/group_S_avg.lCB,76.4718385442
64800,1666411200.000000000,,/group_S_avg.lCB,77.4203013892
68400,1666414800.000000000,,/group_S_avg.lCB,78.2959272859
72000,1666418400.000000000,,/group_S_avg.lCB,79.6636111744
75600,1666422000.000000000,,/group_S_avg.lCB,80.9505181256
79200,1666425600.000000000,,/group_S_avg.lCB,82.3673616502
82800,1666429200.000000000,,/group_S_avg.lCB,83.0979181354
86400,1666432800.000000000,,/group_S_avg.lCB,83.4778873362
90000,1666436400.000000000,,/group_S_avg.lCB,83.389199583
93600,1666440000.000000000,,/group_S_avg.lCB,81.7039595428
97200,1666443600.000000000,,/group_S_avg.lCB,79.619152926
100800,1666447200.000000000,,/group_S_avg.lCB,77.4487772907
104400,1666450800.000000000,,/group_S_avg.lCB,75.5840492882
108000,1666454400.000000000,,/group_S_avg.lCB,73.9911101926
111600,1666458000.000000000,,/group_S_avg.lCB,72.6897855258
115200,1666461600.000000000,,/group_S_avg.lCB,72.5796054798
118800,1666465200.000000000,,/group_S_avg.lCB,72.8179961514
122400,1666468800.000000000,,/group_S_avg.lCB,72.8556570035
126000,1666472400.000000000,,/group_S_avg.lCB,72.8620569027
129600,1666476000.000000000,,/group_S_avg.lCB,72.9365443058
133200,1666479600.000000000,,/group_S_avg.lCB,73.0556610134
136800,1666483200.000000000,,/group_S_avg.lCB,73.2629740671
140400,1666486800.000000000,,/group_S_avg.lCB,73.5885353425
144000,1666490400.000000000,,/group_S_avg.lCB,74.119426581
147600,1666494000.000000000,,/group_S_avg.lCB,74.7076056609
151200,1666497600.000000000,,/group_S_avg.lCB,75.4415026502
154800,1666501200.000000000,,/group_S_avg.lCB,76.2025643295
158400,1666504800.000000000,,/group_S_avg.lCB,76.7802617198
162000,1666508400.000000000,,/group_S_avg.lCB,77.2343321017
165600,1666512000.000000000,,/group_S_avg.lCB,77.4872104027
169200,1666515600.000000000,,/group_S_avg.lCB,77.3153178313
